id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
714,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Commercial,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_02.jpg
715,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Soir,Artificielle,,Commercial,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_03.jpg
716,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_04.jpg
717,HRS_ewl Areal_Luzern,Nightnurse,2019,Intérieur,Illustration,,,,Direct,Central,Commercial,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_05.jpg
718,HRS_ewl Areal_Luzern,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_06.jpg
719,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,Central,Logement,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_07.jpg
720,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,Central,Logement,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_08.jpg
721,HRS_Torfeld_Sued_Aarau,Nightnurse,2017,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Direct,Drone,Commercial,Suisse,Nightnurse_HRS_Torfeld_Sued_Aarau_2017.jpg
722,Huggenbergerfries_Areal Horgen_Oberdorf,Nightnurse,2019,Extérieur,Illustration,,Dégagé,Nuit,Artificielle,Drone,Logement,Suisse,Nightnurse_huggenbergerfries_ArealHorgen_Oberdorf_2019.jpg
723,Hurst Song_Innovationspark_Biel,Nightnurse,2016,Extérieur,Réaliste,,Dégagé,Matin,Direct,Frontal,Commercial,Suisse,Nightnurse_HurstSong_Innovationspark_Biel_2016.jpg
724,Hurst Song_Schule_Zermatt,Nightnurse,2016,Extérieur,Illustration,Été,Dégagé,Matin,Diffuse,Frontal,École,Suisse,Nightnurse_HurstSong_Schule_Zermat_2016_01.jpg
725,Hurst Song_Schule_Zermatt,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,École,Suisse,Nightnurse_HurstSong_Schule_Zermat_2016_02.jpg
726,Implenia_Gare_Sud_Morges,Nightnurse,2016,Extérieur,Illustration,,Dégagé,Milieu journée,Direct,Drone,Logement,Suisse,Nightnurse_Implenia_Gare_Sud_Morges_2016_01.jpg
727,Implenia_Gare_Sud_Morges,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,,Direct,Vertical,Logement,Suisse,Nightnurse_Implenia_Gare_Sud_Morges_2016_02.jpg
728,Implenia_Gare_Sud_Morges,Nightnurse,2016,Extérieur,Illustration,Été,Dégagé,,Direct,Drone,Logement,Suisse,Nightnurse_Implenia_Gare_Sud_Morges_2016_03.jpg
729,Implenia_Gare_Sud_Morges,Nightnurse,2016,Extérieur,Illustration,,,Matin,Direct,,Commercial,Suisse,Nightnurse_Implenia_Gare_Sud_Morges_2016_04.jpg
730,Implenia_Gare_Sud_Morges,Nightnurse,2016,Intérieur,Illustration,,,Matin,Direct,,Logement,Suisse,Nightnurse_Implenia_Gare_Sud_Morges_2016_05.jpg
731,Investa_Schwabinger Carre_Munich,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Logement,,Nightnurse_Investa_SchwabingerCarre_Munich_2019_01.jpg
732,Investa_Schwabinger Carre_Munich,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Logement,,Nightnurse_Investa_SchwabingerCarre_Munich_2019_02.jpg
733,Investa_Schwabinger Carre_Munich,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,,Direct,Central,Logement,,Nightnurse_Investa_SchwabingerCarre_Munich_2019_03.jpg
734,Kaspar Partner_Logements Rebackerstrasse_Horgen,Nightnurse,2017,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_KasparPartner_UberbauungRebackerstrasse_Horgen_2017.jpg
